InstanceType,GpuType,GpuCount,NVlink,GpuInfo,Regions,PriceCentsPerHour,ProviderInstanceType
gpu_1x_a6000,RTX-A6000,1,FALSE,"{'name': 'RTX A6000','manufacturer': 'NVIDIA','memoryInfo':{'sizeInMiB': 49152},'vcpuCount': 28,'memoryGB': 58,'storageGB': 100,'totalVRAM': 48,'interconnect': ''}","[{'name': 'us-central-2','displayName': 'kansascity-usa-1a'},{'name': 'us-central-3','displayName': 'desmoines-usa-1a'}]",44,gpu_1x_a6000
gpu_2x_a6000,RTX-A6000,2,FALSE,"{'name': 'RTX A6000','manufacturer': 'NVIDIA','memoryInfo':{'sizeInMiB': 98304},'vcpuCount': 14,'memoryGB': 96,'storageGB': 512,'totalVRAM': 96,'interconnect': ''}","[{'name': 'us-central-2','displayName': 'kansascity-usa-1a'},{'name': 'us-central-3','displayName': 'desmoines-usa-1a'}]",88,gpu_2x_a6000
gpu_4x_a6000,RTX-A6000,4,FALSE,"{'name': 'RTX A6000','manufacturer': 'NVIDIA','memoryInfo':{'sizeInMiB': 196608},'vcpuCount': 30,'memoryGB': 192,'storageGB': 1024,'totalVRAM': 192,'interconnect': ''}","[{'name': 'us-central-2','displayName': 'kansascity-usa-1a'},{'name': 'us-central-3','displayName': 'desmoines-usa-1a'}]",176,gpu_4x_a6000
gpu_8x_a6000,RTX-A6000,8,FALSE,"{'name': 'RTX A6000','manufacturer': 'NVIDIA','memoryInfo':{'sizeInMiB': 393216},'vcpuCount': 62,'memoryGB': 384,'storageGB': 2560,'totalVRAM': 384,'interconnect': ''}","[{'name': 'us-central-2','displayName': 'kansascity-usa-1a'},{'name': 'us-central-3','displayName': 'desmoines-usa-1a'}]",352,gpu_8x_a6000
gpu_1x_h100,H100,1,FALSE,"{'name': 'H100','manufacturer': 'NVIDIA','memoryInfo':{'sizeInMiB': 81920},'vcpuCount': 20,'memoryGB': 128,'storageGB': 1250,'totalVRAM': 80,'interconnect': ''}","[{'name': 'us-central-3','displayName': 'desmoines-usa-1a'},{'name': 'us-central-5','displayName': 'desmoines-usa-1b'}]",242,gpu_1x_h100
gpu_2x_h100,H100,2,FALSE,"{'name': 'H100','manufacturer': 'NVIDIA','memoryInfo':{'sizeInMiB': 163840},'vcpuCount': 40,'memoryGB': 256,'storageGB': 2500,'totalVRAM': 160,'interconnect': ''}","[{'name': 'us-central-3','displayName': 'desmoines-usa-1a'},{'name': 'us-central-5','displayName': 'desmoines-usa-1b'}]",282,gpu_2x_h100
gpu_4x_h100,H100,4,FALSE,"{'name': 'H100','manufacturer': 'NVIDIA','memoryInfo':{'sizeInMiB': 327680},'vcpuCount': 64,'memoryGB': 512,'storageGB': 5000,'totalVRAM': 320,'interconnect': ''}","[{'name': 'us-central-3','displayName': 'desmoines-usa-1a'},{'name': 'us-central-5','displayName': 'desmoines-usa-1b'}]",968,gpu_4x_h100
gpu_8x_h100,H100,8,FALSE,"{'name': 'H100','manufacturer': 'NVIDIA','memoryInfo':{'sizeInMiB': 655360},'vcpuCount': 126,'memoryGB': 1800,'storageGB': 10000,'totalVRAM': 640,'interconnect': ''}","[{'name': 'us-central-3','displayName': 'desmoines-usa-1a'},{'name': 'us-central-5','displayName': 'desmoines-usa-1b'}]",1936,gpu_8x_h100
gpu_1x_l40,L40,1,FALSE,"{'name': 'L40','manufacturer': 'NVIDIA','memoryInfo':{'sizeInMiB': 49152},'vcpuCount': 26,'memoryGB': 128,'storageGB': 625,'totalVRAM': 48,'interconnect': ''}","[{'name': 'us-central-3','displayName': 'desmoines-usa-1a'}]",90,gpu_1x_l40
gpu_2x_l40,L40,2,FALSE,"{'name': 'L40','manufacturer': 'NVIDIA','memoryInfo':{'sizeInMiB': 98304},'vcpuCount': 50,'memoryGB': 256,'storageGB': 1250,'totalVRAM': 96,'interconnect': ''}","[{'name': 'us-central-3','displayName': 'desmoines-usa-1a'}]",180,gpu_2x_l40
